time 	 voltage 
 
80.6 	 14.3001
80.7 	 21.2741
80.8 	 21.2076
80.9 	 15.2347
207.9  15.915
208 	 23.6623
208.1  24.3631
208.2  18.9476
216.7  17.471
216.8  21.8715
216.9  19.8389
217 	 12.4976
227.7  14.4716
227.8  21.4614
227.9  21.5832
228 	 15.8224
379.2  12.6641
379.3  23.733
379.4  27.8777
379.5  25.6471
379.6  17.9983
411.2  10.2598
411.3	 14.0587
411.4	 12.4369
418 	 15.6092
418.1	 18.2664
418.2	 15.1332
426.7	 10.508
426.8	 19.0554
426.9	 20.9523
427 	 16.8193
441.9	 15.1476
442 	 21.1002
442.1	 20.1554
442.2	 13.5425
579.2	 11.6961
579.3	 23.2231
579.4	 27.8251
579.5	 26.0096
579.6	 18.6864
611 	 10.7967
611.1	 13.8109
611.2	 11.5114
617.7	 15.8358
617.8	 17.9765
617.9	 14.4227
626.3	 17.3315
626.4	 20.9212
626.5	 18.261
626.6	 10.5459
640.6	 17.4197
640.7	 21.5818
640.8	 19.1128
640.9	 11.3753
796.1	 15.3262
796.2	 24.0907
796.3	 25.9476
796.4	 21.6425
796.5	 12.4796
